API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Mar 17 19:04:30 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2025-Nov-16 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460349.500000000, A.D. 2024-Feb-09 00:00:00.0000,  2.695168965026985E-01, -1.408220193307306E+00, -3.612323713552355E-02,
2460350.500000000, A.D. 2024-Feb-10 00:00:00.0000,  2.837746171608846E-01, -1.404317912264724E+00, -3.639118161820961E-02,
2460351.500000000, A.D. 2024-Feb-11 00:00:00.0000,  2.980038082916026E-01, -1.400274463183343E+00, -3.665546771029716E-02,
2460352.500000000, A.D. 2024-Feb-12 00:00:00.0000,  3.122029727837398E-01, -1.396089939115383E+00, -3.691606063789386E-02,
2460353.500000000, A.D. 2024-Feb-13 00:00:00.0000,  3.263706105027511E-01, -1.391764450570442E+00, -3.717292591889761E-02,
2460354.500000000, A.D. 2024-Feb-14 00:00:00.0000,  3.405052185182459E-01, -1.387298125640802E+00, -3.742602937141149E-02,
2460355.500000000, A.D. 2024-Feb-15 00:00:00.0000,  3.546052913344327E-01, -1.382691110122700E+00, -3.767533712174351E-02,
2460356.500000000, A.D. 2024-Feb-16 00:00:00.0000,  3.686693211244735E-01, -1.377943567633085E+00, -3.792081561244665E-02,
2460357.500000000, A.D. 2024-Feb-17 00:00:00.0000,  3.826957979692243E-01, -1.373055679723057E+00, -3.816243161071878E-02,
2460358.500000000, A.D. 2024-Feb-18 00:00:00.0000,  3.966832100994080E-01, -1.368027645989152E+00, -3.840015221684794E-02,
2460359.500000000, A.D. 2024-Feb-19 00:00:00.0000,  4.106300441403212E-01, -1.362859684181992E+00, -3.863394487230239E-02,
2460360.500000000, A.D. 2024-Feb-20 00:00:00.0000,  4.245347853596687E-01, -1.357552030310633E+00, -3.886377736764791E-02,
2460361.500000000, A.D. 2024-Feb-21 00:00:00.0000,  4.383959179197294E-01, -1.352104938742090E+00, -3.908961785080944E-02,
2460362.500000000, A.D. 2024-Feb-22 00:00:00.0000,  4.522119251339194E-01, -1.346518682297085E+00, -3.931143483580828E-02,
2460363.500000000, A.D. 2024-Feb-23 00:00:00.0000,  4.659812897264658E-01, -1.340793552342739E+00, -3.952919721147936E-02,
2460364.500000000, A.D. 2024-Feb-24 00:00:00.0000,  4.797024940940982E-01, -1.334929858881313E+00, -3.974287424963468E-02,
2460365.500000000, A.D. 2024-Feb-25 00:00:00.0000,  4.933740205701945E-01, -1.328927930633830E+00, -3.995243561281749E-02,
2460366.500000000, A.D. 2024-Feb-26 00:00:00.0000,  5.069943516926736E-01, -1.322788115119069E+00, -4.015785136229542E-02,
2460367.500000000, A.D. 2024-Feb-27 00:00:00.0000,  5.205619704759781E-01, -1.316510778729178E+00, -4.035909196659323E-02,
2460368.500000000, A.D. 2024-Feb-28 00:00:00.0000,  5.340753606860317E-01, -1.310096306801880E+00, -4.055612831010241E-02,
2460369.500000000, A.D. 2024-Feb-29 00:00:00.0000,  5.475330071172254E-01, -1.303545103687789E+00, -4.074893170126154E-02,
2460370.500000000, A.D. 2024-Mar-01 00:00:00.0000,  5.609333958719875E-01, -1.296857592811721E+00, -4.093747388050189E-02,
2460371.500000000, A.D. 2024-Mar-02 00:00:00.0000,  5.742750146438776E-01, -1.290034216728544E+00, -4.112172702845314E-02,
2460372.500000000, A.D. 2024-Mar-03 00:00:00.0000,  5.875563530037433E-01, -1.283075437174995E+00, -4.130166377434825E-02,
2460373.500000000, A.D. 2024-Mar-04 00:00:00.0000,  6.007759026876194E-01, -1.275981735117736E+00, -4.147725720410352E-02,
2460374.500000000, A.D. 2024-Mar-05 00:00:00.0000,  6.139321578861887E-01, -1.268753610796425E+00, -4.164848086795428E-02,
2460375.500000000, A.D. 2024-Mar-06 00:00:00.0000,  6.270236155370444E-01, -1.261391583760590E+00, -4.181530878816925E-02,
